"   ","BUSINESS_FLAG","BUSINESS_NAME","BUSINESS_GROUP"
"665","2087","总帐资金划入","AAAA+"
"666","2088","总帐资金划出","AAAA+"
"667","2089","存折存","AAEA+"
"668","2090","存折取","AAEA+"
"669","2091","手工资金划入","AAAA-"
"670","2092","手工资金划出","AAAA-"
"671","2093","自动资金划入","AAAA-"
"672","2094","自动资金划出","AAAA-"
"673","2095","个人划转现金存","AAFA+"
"674","2096","个人划转现金取","AAFA+"
"675","2097","个人划转支票存","AAFA+"
"676","2098","个人划转支票取","AAFA+"
"677","2099","预约取","AAEA+"
"678","2101","冲现金存","AAAA-"
"679","2102","冲现金取","AAAA-"
"680","2103","冲现金支票存","AAEA-"
"681","2104","冲现金支票取","AAEA-"
"682","2105","冲资金转存","AACA-"
"683","2106","冲资金转取","AACA-"
"684","2107","冲内部转帐存","AAFA-"
"685","2108","冲内部转帐取","AAFA-"
"686","2109","冲现金蓝补","AAAD-"
"687","2110","冲现金红冲","AAAD-"
"688","2113","冲利息归本","AAAF-"
"689","2114","冲罚息归本","AAAF-"
"690","2115","冲利税代扣","AAFE-"
"691","2116","冲利税划入","AACE-"
"692","2118","冲前台收费","AAAC-"
"693","2119","冲转汇收费","AAAC-"
"694","2120","冲转帐存","AAAA-"
"695","2141","冲银行存","AABA-"
"696","2142","冲银行取","AABA-"
"697","2143","冲撤转存","AABA-"
"698","2144","冲撤转取","AABA-"
"699","2145","冲银行代收","AABE-"
"700","2146","冲银行代付","AABE-"
"701","2147","冲存折存","AAEA-"
"702","2148","冲存折取","AAEA-"
"703","2183","冲期货转账存","AAAA-"
"704","2184","冲期货转账取","AAAA-"
"705","2201","融资转入","AACA+"
"706","2202","融资转出","AACA+"
"707","2203","融资付款","AACA+"
"708","2204","融资付息","AACF+"
"709","2205","付息转入","AACF+"
"710","2206","付款转入","AACA+"
"711","2210","直接还款","AACA+"
"712","2211","融券现金权益","AA"
"713","2212","预约增加","AACA+"
"714","2213","预约减少","AACA-"
"715","2214","预约取消","AACA-"
"716","2215","融券现金权益增加","AAAA+"
"717","2216","融券现金权益减少","AAAA+"
"718","2301","资金冻结","ABAa+"
"719","2302","资金解冻","ABAa+"
"720","2303","资金冻结取消","ABAa+"
"721","2304","资金解冻取消","ABAa+"
"722","2305","资金长冻","ABAa+"
"723","2306","资金长解","ABAa+"
"724","2307","存保证金","AACA+"
"725","2308","取保证金","AACA+"
"726","2309","预冻结资金","ABAa+"
